STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
744860,94789, 20130101,   39.1,24,   25.1,24, 1012.6,24, 1011.9,24,  10.0,24,  13.3,24,  17.1,  22.0,   41.0 ,  31.1 , 0.00G,999.9, 000000,
744860,94789, 20130102,   28.7,24,    9.9,24, 1017.0,24, 1016.3,24,  10.0,24,  13.7,24,  19.0,  31.1,   41.0 ,  23.0 , 0.00G,999.9, 000000,
744860,94789, 20130103,   29.8,24,   13.8,24, 1021.3,24, 1020.5,24,  10.0,24,   9.8,24,  14.0, 999.9,   35.1 ,  23.0 , 0.00G,999.9, 000000,
744860,94789, 20130104,   33.8,24,   19.2,24, 1018.0,24, 1017.3,24,  10.0,24,  13.6,24,  18.1,  26.0,   39.0 ,  26.1 , 0.00G,999.9, 000000,
744860,94789, 20130105,   36.9,24,   19.0,24, 1020.9,24, 1020.1,24,  10.0,24,  12.2,24,  18.1,  24.1,   45.0 ,  30.2 , 0.00G,999.9, 000000,
744860,94789, 20130106,   37.2,24,   28.3,24, 1020.6,22, 1019.9,24,   8.8,24,   8.1,24,  13.0,  18.1,   45.0 ,  32.0 , 0.00G,999.9, 001000,
744860,94789, 20130107,   42.0,24,   24.5,24, 1022.6,24, 1021.8,24,  10.0,24,   9.5,24,  15.9,  22.9,   46.9 ,  33.1 , 0.00G,999.9, 000000,
744860,94789, 20130108,   38.6,24,   27.7,24, 1029.3,24, 1028.5,24,  10.0,24,   7.5,24,  12.0, 999.9,   48.9 ,  30.0 , 0.00G,999.9, 000000,
744860,94789, 20130109,   40.6,24,   33.7,24, 1027.3,24, 1026.5,24,   9.5,24,   5.1,24,  15.0, 999.9,   48.9 ,  30.2 , 0.00G,999.9, 000000,
744860,94789, 20130110,   45.2,24,   26.3,24, 1028.5,24, 1027.7,24,  10.0,24,  12.6,24,  19.0,  25.1,   59.0 ,  39.0 , 0.00G,999.9, 000000,
744860,94789, 20130111,   40.0,24,   28.2,24, 1031.7,22, 1030.3,24,   9.5,24,   5.4,24,  12.0, 999.9,   50.0 ,  33.1 , 0.00G,999.9, 010000,
744860,94789, 20130112,   45.7,24,   44.0,24, 1020.8,16, 1019.7,24,   3.6,24,   6.2,24,  12.0, 999.9,   48.9 ,  33.1 , 0.64G,999.9, 010000,
744860,94789, 20130113,   43.9,24,   43.1,24, 1020.3,16, 1019.7,24,   1.9,24,   4.5,24,  13.0, 999.9,   48.9 ,  42.1 , 0.06G,999.9, 110000,
744860,94789, 20130114,   50.3,24,   45.7,24, 1018.3,18, 1017.0,24,   3.3,24,   6.5,24,  14.0, 999.9,   57.9 ,  42.1 , 0.01G,999.9, 110000,
744860,94789, 20130115,   39.6,24,   29.7,24, 1025.5,24, 1024.7,24,  10.0,24,   8.6,24,  13.0,  19.0,   57.9 ,  35.1 , 0.11G,999.9, 010000,
744860,94789, 20130116,   35.8,24,   30.7,24, 1018.9,22, 1017.8,24,   7.1,24,   7.1,24,  17.1,  20.0,   39.0 ,  33.1 , 0.71G,999.9, 011000,
744860,94789, 20130117,   40.0,24,   29.0,24, 1016.0,24, 1015.0,24,   9.9,24,  10.8,24,  15.9,  20.0,   46.0 ,  33.1 , 0.14G,999.9, 000000,
744860,94789, 20130118,   31.9,24,   12.6,24, 1024.3,24, 1023.5,24,  10.0,24,  10.5,24,  18.1,  24.1,   46.0 ,  25.0 , 0.00G,999.9, 000000,
744860,94789, 20130119,   37.5,24,   19.2,24, 1026.6,24, 1025.8,24,  10.0,24,  13.9,24,  21.0,  26.0,   52.0 ,  27.0 , 0.00G,999.9, 000000,
744860,94789, 20130120,   45.6,24,   26.0,24, 1011.0,24, 1010.2,24,  10.0,24,  15.1,24,  25.1,  36.9,   55.9 ,  31.1 , 0.00G,999.9, 000000,
744860,94789, 20130121,   31.4,24,   10.0,24, 1016.8,24, 1016.1,24,  10.0,24,   9.0,24,  18.1,  26.0,   55.9 ,  26.1 , 0.00G,999.9, 001000,
744860,94789, 20130122,   24.0,24,    5.5,24, 1015.0,23, 1013.8,24,   9.3,24,  13.9,24,  21.0,  28.9,   33.1 ,  18.0 , 0.03G,999.9, 001000,
744860,94789, 20130123,   15.7,24,   -6.5,24, 1023.1,24, 1022.4,24,  10.0,24,  13.9,24,  21.0,  31.1,   28.0 ,  12.0 , 0.00G,999.9, 001000,
744860,94789, 20130124,   17.7,24,   -4.1,24, 1023.2,24, 1022.4,24,  10.0,24,  11.7,24,  24.1,  36.9,   26.1 ,  12.0 , 0.00G,999.9, 000000,
744860,94789, 20130125,   18.3,24,   -0.1,24, 1028.4,23, 1027.4,24,   9.7,24,   9.6,24,  20.0,  27.0,   26.1 ,  12.9 , 0.00G,999.9, 001000,
744860,94789, 20130126,   20.8,24,   10.3,24, 1020.4,22, 1019.4,24,   8.7,24,   9.5,24,  21.0,  27.0,   27.0 ,  14.0 , 0.06G,  1.2, 001000,
744860,94789, 20130127,   25.0,24,    7.2,24, 1030.5,24, 1029.8,24,  10.0,24,  10.6,24,  21.0,  22.9,   35.1 ,  15.1 , 0.00G,  1.2, 000000,
744860,94789, 20130128,   30.6,24,   19.9,24, 1029.4,19, 1028.1,24,   7.7,24,   6.7,24,  15.0,  21.0,   35.1 ,  18.0 , 0.00G,999.9, 011000,
744860,94789, 20130129,   39.0,24,   35.6,24, 1019.0,23, 1018.0,24,   5.9,24,   6.8,24,  12.0, 999.9,   48.0 ,  24.3 , 0.19G,999.9, 010000,
744860,94789, 20130130,   45.0,24,   43.7,24, 1013.2,15, 1012.3,24,   1.8,24,  10.3,24,  22.0,  31.1,   50.0 ,  34.0 , 0.03G,999.9, 110000,
744860,94789, 20130131,   48.1,24,   36.7,24,  996.1,21,  994.6,24,   6.0,24,  25.6,24,  36.9,  51.1,   55.9 ,  35.1 , 0.48G,999.9, 010000,
744860,94789, 20130201,   30.5,24,    9.1,24, 1011.1,24, 1010.3,24,   9.9,24,  19.0,24,  26.0,  35.0,   35.1*,  27.0*, 0.45G,999.9, 001000,
744860,94789, 20130202,   25.0,24,    6.9,24, 1023.6,24, 1022.8,24,  10.0,24,  12.6,24,  19.0,  24.1,   33.1 ,  19.9 , 0.00G,999.9, 000000,
744860,94789, 20130203,   26.8,24,   18.4,24, 1013.8,18, 1014.0,24,   7.4,24,   6.9,24,  15.0, 999.9,   32.0 ,  19.9 , 0.05G,  1.2, 001000,
744860,94789, 20130204,   28.0,24,   10.5,24, 1012.5,24, 1011.8,24,  10.0,24,  13.6,24,  19.0,  28.0,   32.0 ,  21.9 , 0.03G,  1.2, 000000,
744860,94789, 20130205,   29.4,24,   21.5,24, 1014.6,19, 1013.7,24,   7.8,24,   6.1,24,  12.0, 999.9,   32.0 ,  24.1 , 0.01G,999.9, 001000,
744860,94789, 20130206,   33.7,24,   23.7,24, 1017.9,20, 1016.0,24,   7.7,24,   8.7,24,  20.0,  26.0,   41.0 ,  28.0 , 0.00H,999.9, 011000,
744860,94789, 20130207,   29.6,24,    5.8,24, 1030.1,24, 1029.3,24,  10.0,24,   7.0,24,  15.0,  21.0,   41.0 ,  23.0 , 0.00G,999.9, 000000,
744860,94789, 20130208,   33.8,24,   26.9,24, 1020.3,18, 1018.6,24,   7.5,24,  14.8,24,  25.1,  34.0,   36.0 ,  23.0 , 0.01G,999.9, 011000,
744860,94789, 20130209,   28.9,24,   20.3,24, 1012.9,20, 1010.4,24,   6.2,24,  19.1,24,  25.1,  33.0,   36.0 ,  26.1 , 0.95G,  5.9, 101000,
744860,94789, 20130210,   24.2,24,    7.7,24, 1029.0,24, 1028.2,24,  10.0,24,   7.3,24,  18.1, 999.9,   34.0 ,  17.1 , 0.18G,  5.1, 000000,
744860,94789, 20130211,   37.5,24,   33.3,24, 1021.9,18, 1019.0,24,   5.7,24,   6.2,24,  19.0, 999.9,   44.1 ,  17.1 , 0.07G,  3.1, 110000,
744860,94789, 20130212,   42.3,24,   30.1,24, 1010.4,21, 1008.6,24,   8.1,24,  11.2,24,  18.1,  24.1,   46.9 ,  35.1 , 0.39G,  1.2, 110000,
744860,94789, 20130213,   36.7,24,   23.2,24, 1012.3,24, 1011.5,24,  10.0,24,   5.9,24,  13.0, 999.9,   46.9 ,  28.0 , 0.00G,  2.0, 000000,
744860,94789, 20130214,   37.7,24,   27.6,24, 1011.8,21, 1010.0,24,   9.6,24,   6.3,24,  13.0, 999.9,   45.0 ,  28.2 , 0.01G,999.9, 011000,
744860,94789, 20130215,   39.2,24,   33.3,24, 1016.1,24, 1015.3,24,   8.7,24,   7.7,24,  12.0,  17.1,   48.9 ,  32.0 , 0.00G,999.9, 000000,
744860,94789, 20130216,   38.8,24,   28.6,24, 1013.0,21, 1012.6,24,  10.0,24,  10.1,24,  17.1,  24.1,   48.9 ,  32.0 , 0.00G,999.9, 011000,
744860,94789, 20130217,   30.3,24,    5.7,24, 1006.6,24, 1005.9,24,  10.0,24,  21.1,24,  28.9,  39.0,   45.0 ,  25.0 , 0.00G,999.9, 000000,
744860,94789, 20130218,   24.2,24,    0.7,24, 1019.6,24, 1018.9,24,  10.0,24,  18.3,24,  28.9,  38.1,   36.0 ,  18.0 , 0.00G,999.9, 000000,
744860,94789, 20130219,   37.1,24,   26.2,24, 1018.7,23, 1017.4,24,   9.7,24,  12.2,24,  19.0,  26.0,   45.0*,  30.9*, 0.00G,999.9, 010000,
744860,94789, 20130220,   34.9,24,   18.2,24, 1009.4,24, 1008.3,24,   9.7,24,  17.4,24,  22.9,  31.1,   45.0 ,  28.9 , 0.13G,999.9, 010000,
744860,94789, 20130221,   29.2,24,    9.0,24, 1016.0,24, 1015.3,24,  10.0,24,  18.7,24,  25.1,  33.0,   37.0 ,  24.1 , 0.00G,999.9, 000000,
744860,94789, 20130222,   30.5,24,   17.0,24, 1026.7,24, 1025.9,24,  10.0,24,  10.4,24,  21.0,  22.0,   37.9 ,  24.1 , 0.00G,999.9, 001000,
